"Year
of
Death","Non-Veteran
Suicide
Deaths","Non-Veteran
Population
Estimate","Non-Veteran
Crude Suicide Rate
per 100,000","Non-Veteran
Age-Adjusted
Suicide Rate per
100,000","Non-Veteran
Age- and Sex-Adjusted
Suicide Rate per
100,000","Male
Non-Veteran
Suicide
Deaths","Male
Non-Veteran
Population
Estimate","Male
Non-Veteran
Crude Suicide Rate
per 100,000","Male
Non-Veteran
Age-Adjusted
Suicide Rate per
100,000","Female
Non-Veteran
Suicide
Deaths","Female
Non-Veteran
Population
Estimate","Female
Non-Veteran
Crude Suicide Rate
per 100,000","Female
Non-Veteran
Age-Adjusted
Suicide Rate per
100,000"
2005,"25,554","189,978,444",13.5,13.5,15.5,"19,258","80,568,449",23.9,26.9,"6,296","109,409,995",5.8,5.8
2006,"26,384","200,628,294",13.2,13.2,14.6,"19,798","86,634,862",22.9,24.7,"6,586","113,993,432",5.8,5.8
2007,"27,580","203,118,104",13.6,13.6,15.0,"20,623","88,096,429",23.4,25.1,"6,957","115,021,675",6.0,6.1
2008,"28,556","205,606,197",13.9,13.9,15.2,"21,439","89,405,764",24.0,25.5,"7,117","116,200,433",6.1,6.2
2009,"29,384","208,308,799",14.1,14.1,15.4,"22,076","91,004,727",24.3,25.6,"7,308","117,304,072",6.2,6.3
2010,"30,876","211,398,287",14.6,14.6,15.9,"23,282","92,260,564",25.2,26.4,"7,594","119,137,723",6.4,6.4
2011,"32,004","214,193,774",14.9,15.0,16.2,"24,039","93,923,587",25.6,26.8,"7,965","120,270,187",6.6,6.7
2012,"33,043","217,035,768",15.2,15.3,16.5,"24,789","95,549,470",25.9,27.3,"8,254","121,486,298",6.8,6.9
2013,"33,451","219,579,724",15.2,15.3,16.5,"24,978","97,020,074",25.7,27.2,"8,473","122,559,650",6.9,7.0
2014,"34,891","222,697,660",15.7,15.7,16.8,"25,923","98,696,236",26.3,27.5,"8,968","124,001,424",7.2,7.3
2015,"36,236","225,605,172",16.1,16.2,17.1,"26,776","100,412,899",26.7,27.7,"9,460","125,192,273",7.6,7.7
2016,"37,117","227,665,651",16.3,16.4,17.3,"27,646","101,596,069",27.2,28.3,"9,471","126,069,582",7.5,7.6
2017,"38,991","230,624,650",16.9,17.0,17.9,"29,405","103,367,776",28.4,29.4,"9,586","127,256,874",7.5,7.7
2018,"40,075","232,680,449",17.2,17.3,18.2,"30,308","104,554,427",29.0,29.9,"9,767","128,126,022",7.6,7.8
